portid,code,desc,name,latitude,longitude,elevation,state,gpscode,iata
4965,DN50,small,Shiroro Airport,9.8846502304,6.8186302185,1305,niger,DN50,
4966,DN51,small,Ajaokuta Airport,7.4572401047,6.4611301422,620,NG-KO,DN51,
4967,DN53,small,Kaduna Old Airport,10.5988998413,7.4487099648,2126,NG-KD,DN53,
4968,DN54,small,Bajoga Northeast Airport,10.9198999405,11.5011997223,1000,NG-GO,DN54,
4969,DN55,small,Eket Airport,4.642179966,7.9490399361,42,NG-AK,DN55,
4970,DN56,small,Escravos Airport,5.6253199577,5.1923799515,6,NG-DE,DN56,
4971,DN57,small,Katsina Airport,13.0078001022,7.6604499817,1660,NG-KT,,DKA
2104,DNAA,large,Nnamdi Azikiwe International Airport,9.0067901611,7.2631697655,1123,NG-FC,DNAA,ABV
2105,DNAK,medium,Akure Airport,7.2467398643,5.3010101318,1100,NG-ON,DNAK,AKR
300781,DNAS,medium,Asaba International Airport,6.2033333333,6.6588888889,305,NG-DE,DNAS,ABB
2106,DNBE,medium,Benin Airport,6.3169798851,5.5995001793,258,NG-ED,DNBE,BNI
30927,DNBI,medium,Bida Airport,9.1000003815,6.0170001984,450,NG-NI,DNBI,
2107,DNCA,medium,Margaret Ekpo International Airport,4.9760198593,8.3472003937,210,NG-CR,DNCA,CBQ
2108,DNEN,medium,Akanu Ibiam International Airport,6.4742698669,7.5619602203,466,NG-EN,DNEN,ENU
2109,DNGU,medium,Gusau Airport,12.1716995239,6.6961097717,1520,NG-ZA,DNGU,QUS
2110,DNIB,medium,Ibadan Airport,7.3624601364,3.9783298969,725,NG-OY,DNIB,IBA
2111,DNIL,medium,Ilorin International Airport,8.4402103424,4.4939198494,1126,NG-KW,DNIL,ILR
2112,DNIM,medium,Sam Mbakwe International Airport,5.4270601273,7.206029892,373,NG-IM,DNIM,QOW
2113,DNJO,medium,Yakubu Gowon Airport,9.6398296356,8.8690500259,4232,NG-PL,DNJO,JOS
2114,DNKA,medium,Kaduna Airport,10.6960000992,7.3201098442,2073,NG-KD,DNKA,KAD
2115,DNKN,medium,Mallam Aminu International Airport,12.0475997925,8.5246200562,1562,NG-KN,DNKN,KAN
2116,DNMA,medium,Maiduguri International Airport,11.8552999496,13.0809001923,1099,NG-BO,DNMA,MIU
2117,DNMK,medium,Makurdi Airport,7.7038798332,8.613940239,371,NG-BE,DNMK,MDI
2118,DNMM,large,Murtala Muhammed International Airport,6.5773701668,3.321160078,135,NG-LA,DNMM,LOS
2119,DNMN,medium,Minna Airport,9.6521701813,6.4622597694,834,NG-NI,DNMN,MXJ
30930,DNOS,small,Oshogbo Airport,7.7829999924,4.4829998016,997,NG-OS,DNOS,
2120,DNPO,medium,Port Harcourt International Airport,5.0154900551,6.9495902061,87,NG-RI,DNPO,PHC
2121,DNSO,medium,Sadiq Abubakar III International Airport,12.9162998199,5.2071900368,1010,NG-SO,DNSO,SKO
2122,DNYO,medium,Yola Airport,9.2575502396,12.4303998947,599,NG-AD,DNYO,YOL
2123,DNZA,medium,Zaria Airport,11.130200386,7.6858100891,2170,NG-KD,DNZA,ZAR
42463,NG-0001,closed,Agbara-Otor,5.5291938782,6.0588312149,,NG-DE,,
42464,NG-0002,small,Kainji,9.8926668167,4.4854435921,,NG-NI,,
44578,NG-0003,medium,Gombe Lawanti International Airport,10.2983333333,10.8963888889,1590,NG-GO,DNGO,GMO
300565,NG-0004,small,Port Harcourt City Airport,4.8461111111,7.0213888889,57,NG-RI,,PHG
30689,NG-BCU,small,Bauchi Airport,10.2944002151,9.8166704178,1998,NG-BA,,BCU
32192,NG-QRW,medium,Warri Airport,5.5961098671,5.8177800179,242,NG-DE,,QRW
